GEOID,total,total_moe,poverty,poverty_moe,poverty_rate,total_cancer,total_copd,total_diabetes,total_heart,mortality,mortality_rate
63368,46599,1326,2058,764,44.16403785488959,315,57,21,319,712,15.27929783900942
63104,19788,987,3738,836,188.90236506973923,134,32,20,143,329,16.626238124115627
63021,55700,973,2273,668,40.80789946140036,418,99,42,439,998,17.917414721723517
63033,42010,1923,4282,1062,101.92811235420137,531,92,70,666,1359,32.34944060937872
63034,17754,1066,1499,713,84.43167736848034,202,19,22,199,442,24.895798129998873
63043,21896,475,2253,508,102.89550602849836,200,47,24,273,544,24.844720496894407
63074,15195,599,2155,677,141.8229680816058,166,26,12,205,409,26.916748930569266
63101,3305,579,517,404,156.42965204236006,12,NA,NA,27,39,11.800302571860819
63108,18909,930,4727,599,249.98677878259028,186,31,22,255,494,26.125125601565394
63109,26517,833,1859,500,70.10596975525135,248,48,26,320,642,24.21088358411585
63038,7077,558,278,309,39.28218171541614,53,8,NA,41,102,14.412886816447648
63373,587,93,49,25,83.47529812606473,NA,0,NA,NA,0,0
63116,43926,1187,8764,1101,199.51737012247872,380,87,37,446,950,21.627282247416108
63121,23897,1086,5424,957,226.9740971670084,332,45,37,404,818,34.23023810520149
63122,38349,437,1509,345,39.349135570679806,407,85,29,521,1042,27.171503820177843
63123,50820,981,4337,787,85.34041715859898,613,137,48,766,1564,30.775285320739865
63140,276,98,139,79,503.6231884057971,NA,NA,0,NA,0,0
63126,14725,561,785,300,53.3106960950764,193,23,9,177,402,27.30050933786078
63127,4828,328,285,185,59.03065451532726,78,16,8,143,245,50.74565037282518
63131,17463,730,671,298,38.42409666151291,194,18,12,170,394,22.561988203630534
63144,8705,246,446,197,51.23492245835726,72,14,NA,57,143,16.42734060884549
63367,24177,691,771,285,31.88981263184018,196,20,5,150,371,15.345162757993135
63303,47624,1307,3398,620,71.35057953972787,434,95,41,395,965,20.262892659163448
63332,1253,284,56,38,44.6927374301676,15,NA,0,12,27,21.54828411811652
63385,43315,907,2826,517,65.24298741775367,300,64,25,285,674,15.560429412443726
63386,392,76,48,36,122.44897959183673,10,NA,NA,7,17,43.36734693877551
63026,42751,1133,2639,511,61.72955018596056,392,94,38,436,960,22.455615073331618
63044,10118,395,1290,385,127.49555248072741,155,39,12,226,432,42.696185016801735
63049,17326,953,2039,510,117.68440494055177,150,47,14,161,372,21.47062218630959
63102,1209,271,86,79,71.13316790736147,10,NA,NA,14,24,19.851116625310173
63011,38416,1051,1215,412,31.627446897126195,382,59,23,406,870,22.646813827571847
63005,17834,640,562,249,31.51284064147135,111,8,9,89,217,12.167769429180218
63115,18148,1145,6305,983,347.4212034383954,242,35,36,309,622,34.27374917346264
63128,29348,851,1253,388,42.69456181000409,409,102,25,527,1063,36.22052610058607
63136,44872,1361,10915,1393,243.24745944018542,519,89,88,639,1335,29.751292565519698
63141,19726,566,529,206,26.81739835749772,232,30,10,247,519,26.310453208962787
63088,8183,363,806,251,98.4968837834535,84,30,7,114,235,28.718074055969694
63103,6871,672,1220,258,177.55785184107117,72,10,10,73,165,24.013971765390774
63111,20838,1374,7334,1162,351.95316249160186,220,62,31,278,591,28.361646991073997
63118,28086,1505,9083,1181,323.3995584988962,208,43,25,239,515,18.33653777682831
63124,10806,461,531,221,49.13936701832315,144,27,6,193,370,34.24023690542291
63132,13294,843,1167,304,87.78396268993531,131,19,16,131,297,22.34090567173161
63134,13521,516,2255,536,166.77760520671546,141,33,13,172,359,26.551290585015902
63138,18168,1103,3423,933,188.40819022457066,190,40,23,228,481,26.475121092029944
63376,73821,1107,3025,541,40.97749962747728,685,159,65,667,1576,21.348938648893945
63106,11221,883,5540,914,493.71713751002585,104,22,17,128,271,24.151145174226897
