Title:,Missouri Resident Chronic Disease Deaths,
Data selected in addition to rows and columns below:,Chronic Cause: Cancer; ,,
Year:,2014,2015,2016,2017,2018,Total for selection,,
Statistics:,Count,Count,Count,Count,Count,Count,,
Zip / ZCTA,,,,,,,,
63101,x,x,x,x,x,12,,
63102,x,x,x,x,x,10,,
63103,14,13,14,16,15,72,,
63104,22,26,28,25,33,134,,
63105,23,24,23,17,14,101,,
63106,20,20,22,21,21,104,,
63107,41,32,26,33,17,149,,
63108,36,42,35,37,36,186,,
63109,65,42,61,42,38,248,,
63110,21,28,22,34,34,139,,
63111,47,46,40,38,49,220,,
63112,42,39,36,43,37,197,,
63113,40,36,39,44,43,202,,
63115,71,47,42,37,45,242,,
63116,80,79,70,76,75,380,,
63117,16,24,16,17,18,91,,
63118,42,44,41,44,37,208,,
63119,92,65,67,70,62,356,,
63120,22,29,27,23,18,119,,
63123,126,136,115,115,121,613,,
63125,96,91,81,88,94,450,,
63130,50,64,55,60,46,275,,
63133,20,15,16,21,27,99,,
63136,107,96,94,105,117,519,,
63137,44,54,45,48,39,230,,
63139,36,38,51,35,28,188,,
63143,12,17,19,9,22,79,,
63147,26,28,31,24,29,138,,
63005,21,24,16,26,24,111,,
63011,71,78,88,77,68,382,,
63017,122,105,89,108,107,531,,
63021,63,84,78,93,100,418,,
63025,23,30,30,32,30,145,,
63026,82,83,74,81,72,392,,
63031,117,103,92,84,116,512,,
63033,115,103,109,98,106,531,,
63034,44,35,31,44,48,202,,
63038,10,16,11,9,7,53,,
63040,x,x,x,x,x,49,,
63042,42,45,41,35,46,209,,
63043,43,35,39,40,43,200,,
63044,33,29,29,37,27,155,,
63045,x,x,x,x,x,x,,
63049,29,30,33,36,22,150,,
63069,35,26,30,38,24,153,,
63074,31,26,36,36,37,166,,
63088,13,16,10,27,18,84,,
63114,74,70,54,81,79,358,,
63121,71,65,65,59,72,332,,
63122,80,88,91,70,78,407,,
63124,25,30,28,26,35,144,,
63126,37,42,41,33,40,193,,
63127,15,13,14,18,18,78,,
63128,64,85,77,93,90,409,,
63129,117,110,102,111,110,550,,
63131,45,35,45,32,37,194,,
63132,20,32,23,25,31,131,,
63134,28,25,29,35,24,141,,
63135,49,55,46,29,35,214,,
63138,48,33,36,27,46,190,,
63140,x,x,x,x,x,x,,
63141,44,39,39,52,58,232,,
63144,15,11,18,12,16,72,,
63146,58,58,72,64,74,326,,
63301,117,106,95,114,125,557,,
63303,81,84,81,87,101,434,,
63304,65,62,73,72,65,337,,
63332,x,x,x,x,x,15,,
63341,x,x,x,x,x,29,,
63348,15,12,11,22,21,81,,
63357,13,10,14,10,16,63,,
63366,64,73,74,90,109,410,,
63367,39,33,42,39,43,196,,
63368,65,66,65,62,57,315,,
63373,x,x,x,x,x,x,,
63376,130,157,128,144,126,685,,
63385,64,48,59,60,69,300,,
63386,x,x,x,x,x,10,,
Total for selection,3571,3510,3403,3520,3614,17618,,
Missouri,13009,12938,12691,12969,13038,64645,,
Confidentiality:,The "x" symbol indicates the confidentiality rule has been triggered.,
Source:,DHSS - MOPHIMS - Chronic Disease Deaths MICA,
Generated On:,3/15/2020 8:18:08 PM,
Chronic Disease:,The Chronic Disease categories shown here do not include all types of chronic disease.,
