Title:,Missouri Resident Chronic Disease Deaths,
Data selected in addition to rows and columns below:,Age: 65 - 69 70 - 74 75 - 79 80 - 84 85 and Over; Chronic Cause: Cancer; ,,
Year:,2014,2015,2016,2017,2018,Total for selection,,
Statistics:,Count,Count,Count,Count,Count,Count,,
Zip / ZCTA,,,,,,,,
63101,x,x,x,x,x,8,,
63102,x,x,x,x,x,x,,
63103,10,12,9,8,11,50,,
63104,16,16,23,12,23,90,,
63105,21,22,21,13,13,90,,
63106,10,9,12,12,13,56,,
63107,21,20,16,15,12,84,,
63108,21,26,21,26,24,118,,
63109,42,26,35,29,26,158,,
63110,18,17,14,22,23,94,,
63111,26,20,22,23,25,116,,
63112,33,27,24,31,25,140,,
63113,23,20,22,32,21,118,,
63115,43,25,25,21,26,140,,
63116,44,40,38,54,41,217,,
63117,10,17,13,16,14,70,,
63118,18,27,25,26,23,119,,
63119,69,57,55,58,47,286,,
63120,17,20,20,17,12,86,,
63123,94,94,91,94,92,465,,
63125,68,67,59,68,62,324,,
63130,28,51,37,37,41,194,,
63133,12,7,12,10,18,59,,
63136,63,52,59,75,75,324,,
63137,28,32,27,28,20,135,,
63139,24,26,30,24,17,121,,
63143,x,x,x,x,x,50,,
63147,18,19,19,9,21,86,,
63005,15,17,14,20,19,85,,
63011,56,67,66,59,54,302,,
63017,98,92,67,96,98,451,,
63021,53,57,59,70,77,316,,
63025,16,23,25,25,19,108,,
63026,49,57,52,53,50,261,,
63031,79,66,71,57,81,354,,
63033,74,75,73,70,74,366,,
63034,29,25,18,35,30,137,,
63038,x,x,x,x,x,38,,
63040,x,x,x,x,x,35,,
63042,27,36,26,27,30,146,,
63043,30,26,28,29,31,144,,
63044,21,23,25,30,23,122,,
63045,x,x,x,x,x,x,,
63049,19,22,25,23,12,101,,
63069,27,18,20,28,21,114,,
63074,13,17,23,23,29,105,,
63088,9,12,8,18,16,63,,
63114,43,45,31,43,52,214,,
63121,47,44,48,29,46,214,,
63122,57,70,72,58,63,320,,
63124,22,25,24,26,32,129,,
63126,31,33,24,28,32,148,,
63127,11,11,12,16,16,66,,
63128,51,60,65,73,76,325,,
63129,96,76,79,89,77,417,,
63131,30,32,37,24,31,154,,
63132,13,21,18,21,22,95,,
63134,17,16,18,21,16,88,,
63135,32,31,27,17,21,128,,
63138,26,25,27,16,35,129,,
63140,x,x,x,x,x,x,,
63141,29,33,27,40,40,169,,
63144,12,10,13,10,14,59,,
63146,42,44,60,54,59,259,,
63301,86,84,64,82,84,400,,
63303,58,64,57,65,66,310,,
63304,49,45,53,48,49,244,,
63332,x,x,x,x,x,13,,
63341,x,x,x,x,x,19,,
63348,11,7,7,13,14,52,,
63357,7,8,10,7,13,45,,
63366,46,51,51,59,84,291,,
63367,29,25,31,30,37,152,,
63368,46,48,45,39,40,218,,
63373,x,x,x,x,x,6,,
63376,93,101,91,102,92,479,,
63385,41,30,41,43,48,203,,
63386,x,x,x,x,x,6,,
Total for selection,2448,2464,2398,2506,2587,12403,,
Missouri,9006,8930,8993,9229,9248,45406,,
Confidentiality:,The "x" symbol indicates the confidentiality rule has been triggered.,
Source:,DHSS - MOPHIMS - Chronic Disease Deaths MICA,
Generated On:,3/15/2020 8:23:01 PM,
Chronic Disease:,The Chronic Disease categories shown here do not include all types of chronic disease.,
