Title:,Missouri Resident Chronic Disease Deaths,
Data selected in addition to rows and columns below:,Chronic Cause: Chronic Obstructive Pulmonary Disease (COPD) excluding Asthma; ,,
Year:,2014,2015,2016,2017,2018,Total for selection,,
Statistics:,Count,Count,Count,Count,Count,Count,,
Zip / ZCTA,,,,,,,,
63101,x,x,x,x,x,x,,
63102,x,x,x,x,x,x,,
63103,x,x,x,x,x,10,,
63104,x,x,x,x,x,32,,
63105,x,x,x,x,x,16,,
63106,x,x,x,x,x,22,,
63107,x,x,x,x,x,29,,
63108,x,x,x,x,x,31,,
63109,11,8,8,10,11,48,,
63110,x,x,x,x,x,24,,
63111,11,16,13,16,6,62,,
63112,x,x,x,x,x,30,,
63113,x,x,x,x,x,32,,
63115,6,5,11,8,5,35,,
63116,23,14,20,15,15,87,,
63117,x,x,x,x,x,19,,
63118,x,x,x,x,x,43,,
63119,19,12,15,15,17,78,,
63120,x,x,x,x,x,19,,
63123,24,23,30,29,31,137,,
63125,26,23,32,20,32,133,,
63130,6,8,11,7,14,46,,
63133,x,x,x,x,x,17,,
63136,16,21,15,20,17,89,,
63137,x,x,x,x,x,43,,
63139,11,10,12,16,8,57,,
63143,x,x,x,x,x,17,,
63147,x,x,x,x,x,26,,
63005,x,x,x,x,x,8,,
63011,13,14,12,9,11,59,,
63017,15,25,24,25,25,114,,
63021,21,19,20,17,22,99,,
63025,x,x,x,x,x,31,,
63026,19,22,9,25,19,94,,
63031,23,20,30,20,21,114,,
63033,19,13,19,22,19,92,,
63034,x,x,x,x,x,19,,
63038,x,x,x,x,x,8,,
63040,x,x,x,x,x,x,,
63042,9,7,6,11,12,45,,
63043,10,7,10,12,8,47,,
63044,x,x,x,x,x,39,,
63045,0,0,0,0,0,0,,
63049,5,12,10,14,6,47,,
63069,9,14,8,9,6,46,,
63074,x,x,x,x,x,26,,
63088,x,x,x,x,x,30,,
63114,17,21,22,15,17,92,,
63121,9,7,12,7,10,45,,
63122,22,18,17,7,21,85,,
63124,x,x,x,x,x,27,,
63126,x,x,x,x,x,23,,
63127,x,x,x,x,x,16,,
63128,31,16,18,19,18,102,,
63129,22,15,24,25,14,100,,
63131,x,x,x,x,x,18,,
63132,x,x,x,x,x,19,,
63134,x,x,x,x,x,33,,
63135,5,6,9,8,5,33,,
63138,8,7,9,9,7,40,,
63140,x,x,x,x,x,x,,
63141,x,x,x,x,x,30,,
63144,x,x,x,x,x,14,,
63146,10,9,9,6,18,52,,
63301,27,32,36,33,38,166,,
63303,21,15,19,20,20,95,,
63304,13,10,8,9,12,52,,
63332,x,x,x,x,x,x,,
63341,x,x,x,x,x,x,,
63348,x,x,x,x,x,10,,
63357,x,x,x,x,x,11,,
63366,15,18,16,20,18,87,,
63367,x,x,x,x,x,20,,
63368,16,7,10,12,12,57,,
63373,0,0,0,0,0,0,,
63376,25,34,40,32,28,159,,
63385,13,14,12,13,12,64,,
63386,x,x,x,x,x,x,,
Total for selection,719,680,749,720,698,3566,,
Missouri,3654,3857,3888,3872,3895,19166,,
Confidentiality:,The "x" symbol indicates the confidentiality rule has been triggered.,
Source:,DHSS - MOPHIMS - Chronic Disease Deaths MICA,
Generated On:,3/15/2020 8:18:53 PM,
Chronic Disease:,The Chronic Disease categories shown here do not include all types of chronic disease.,
