Title:,Missouri Resident Chronic Disease Deaths,
Data selected in addition to rows and columns below:,Age: 65 - 69 70 - 74 75 - 79 80 - 84 85 and Over; Chronic Cause: Chronic Obstructive Pulmonary Disease (COPD) excluding Asthma; ,,
Year:,2014,2015,2016,2017,2018,Total for selection,,
Statistics:,Count,Count,Count,Count,Count,Count,,
Zip / ZCTA,,,,,,,,
63101,x,x,x,x,x,x,,
63102,x,x,x,x,x,x,,
63103,x,x,x,x,x,8,,
63104,x,x,x,x,x,26,,
63105,x,x,x,x,x,16,,
63106,x,x,x,x,x,14,,
63107,x,x,x,x,x,21,,
63108,x,x,x,x,x,18,,
63109,8,8,6,7,10,39,,
63110,x,x,x,x,x,20,,
63111,7,14,11,14,5,51,,
63112,x,x,x,x,x,24,,
63113,x,x,x,x,x,23,,
63115,x,x,x,x,x,26,,
63116,20,12,16,9,13,70,,
63117,x,x,x,x,x,17,,
63118,x,x,x,x,x,31,,
63119,18,11,15,15,17,76,,
63120,x,x,x,x,x,14,,
63123,23,23,27,26,27,126,,
63125,22,20,28,18,27,115,,
63130,x,x,x,x,x,37,,
63133,x,x,x,x,x,13,,
63136,14,19,11,12,13,69,,
63137,x,x,x,x,x,33,,
63139,x,x,x,x,x,45,,
63143,x,x,x,x,x,16,,
63147,x,x,x,x,x,18,,
63005,x,x,x,x,x,8,,
63011,12,14,9,9,11,55,,
63017,15,25,23,25,23,111,,
63021,20,16,20,17,19,92,,
63025,x,x,x,x,x,28,,
63026,17,16,7,22,18,80,,
63031,21,18,25,17,17,98,,
63033,18,13,15,20,17,83,,
63034,x,x,x,x,x,18,,
63038,x,x,x,x,x,6,,
63040,x,x,x,x,x,x,,
63042,8,7,6,8,12,41,,
63043,10,6,7,10,8,41,,
63044,x,x,x,x,x,37,,
63045,0,0,0,0,0,0,,
63049,x,x,x,x,x,40,,
63069,5,10,7,9,6,37,,
63074,x,x,x,x,x,19,,
63088,x,x,x,x,x,27,,
63114,15,18,18,12,17,80,,
63121,x,x,x,x,x,35,,
63122,21,17,17,7,21,83,,
63124,x,x,x,x,x,26,,
63126,x,x,x,x,x,22,,
63127,x,x,x,x,x,16,,
63128,29,13,16,19,17,94,,
63129,22,12,22,21,13,90,,
63131,x,x,x,x,x,18,,
63132,x,x,x,x,x,19,,
63134,x,x,x,x,x,26,,
63135,x,x,x,x,x,30,,
63138,8,6,7,6,5,32,,
63140,0,0,0,0,0,0,,
63141,x,x,x,x,x,30,,
63144,x,x,x,x,x,14,,
63146,10,9,8,5,14,46,,
63301,22,28,34,30,35,149,,
63303,20,13,17,18,19,87,,
63304,13,9,6,8,10,46,,
63332,x,x,x,x,x,x,,
63341,x,x,x,x,x,x,,
63348,x,x,x,x,x,9,,
63357,x,x,x,x,x,11,,
63366,15,18,15,18,17,83,,
63367,x,x,x,x,x,18,,
63368,15,6,10,12,11,54,,
63373,0,0,0,0,0,0,,
63376,25,31,37,32,25,150,,
63385,11,12,12,12,11,58,,
63386,x,x,x,x,x,x,,
Total for selection,639,599,647,622,619,3126,,
Missouri,3120,3214,3227,3296,3282,16139,,
Confidentiality:,The "x" symbol indicates the confidentiality rule has been triggered.,
Source:,DHSS - MOPHIMS - Chronic Disease Deaths MICA,
Generated On:,3/15/2020 8:22:37 PM,
Chronic Disease:,The Chronic Disease categories shown here do not include all types of chronic disease.,
