Title:,Missouri Resident Chronic Disease Deaths,
Data selected in addition to rows and columns below:,Chronic Cause: Diabetes; ,,
Year:,2014,2015,2016,2017,2018,Total for selection,,
Statistics:,Count,Count,Count,Count,Count,Count,,
Zip / ZCTA,,,,,,,,
63101,x,x,x,x,x,x,,
63102,x,x,x,x,x,x,,
63103,x,x,x,x,x,10,,
63104,x,x,x,x,x,20,,
63105,x,x,x,x,x,x,,
63106,x,x,x,x,x,17,,
63107,x,x,x,x,x,24,,
63108,x,x,x,x,x,22,,
63109,x,x,x,x,x,26,,
63110,x,x,x,x,x,21,,
63111,x,x,x,x,x,31,,
63112,x,x,x,x,x,28,,
63113,6,6,8,5,7,32,,
63115,x,x,x,x,x,36,,
63116,x,x,x,x,x,37,,
63117,x,x,x,x,x,14,,
63118,x,x,x,x,x,25,,
63119,8,7,17,12,9,53,,
63120,x,x,x,x,x,17,,
63123,11,8,7,11,11,48,,
63125,8,12,8,5,6,39,,
63130,6,13,8,6,9,42,,
63133,x,x,x,x,x,20,,
63136,26,8,14,21,19,88,,
63137,x,x,x,x,x,35,,
63139,x,x,x,x,x,24,,
63143,x,x,x,x,x,8,,
63147,x,x,x,x,x,19,,
63005,x,x,x,x,x,9,,
63011,x,x,x,x,x,23,,
63017,5,12,5,12,7,41,,
63021,5,12,9,6,10,42,,
63025,x,x,x,x,x,11,,
63026,7,5,9,7,10,38,,
63031,12,10,13,15,9,59,,
63033,9,9,25,11,16,70,,
63034,x,x,x,x,x,22,,
63038,x,x,x,x,x,x,,
63040,x,x,x,x,x,x,,
63042,x,x,x,x,x,13,,
63043,x,x,x,x,x,24,,
63044,x,x,x,x,x,12,,
63045,0,0,0,0,0,0,,
63049,x,x,x,x,x,14,,
63069,x,x,x,x,x,9,,
63074,x,x,x,x,x,12,,
63088,x,x,x,x,x,7,,
63114,11,13,6,10,10,50,,
63121,7,8,9,5,8,37,,
63122,x,x,x,x,x,29,,
63124,x,x,x,x,x,6,,
63126,x,x,x,x,x,9,,
63127,x,x,x,x,x,8,,
63128,x,x,x,x,x,25,,
63129,x,x,x,x,x,46,,
63131,x,x,x,x,x,12,,
63132,x,x,x,x,x,16,,
63134,x,x,x,x,x,13,,
63135,7,6,6,10,7,36,,
63138,x,x,x,x,x,23,,
63140,0,0,0,0,0,0,,
63141,x,x,x,x,x,10,,
63144,x,x,x,x,x,x,,
63146,x,x,x,x,x,32,,
63301,11,14,9,13,16,63,,
63303,6,9,11,7,8,41,,
63304,x,x,x,x,x,31,,
63332,0,0,0,0,0,0,,
63341,x,x,x,x,x,x,,
63348,x,x,x,x,x,6,,
63357,x,x,x,x,x,5,,
63366,x,x,x,x,x,26,,
63367,x,x,x,x,x,5,,
63368,x,x,x,x,x,21,,
63373,x,x,x,x,x,x,,
63376,15,9,12,16,13,65,,
63385,x,x,x,x,x,25,,
63386,x,x,x,x,x,x,,
Total for selection,333,352,371,366,379,1801,,
Missouri,1413,1464,1508,1606,1606,7597,,
Confidentiality:,The "x" symbol indicates the confidentiality rule has been triggered.,
Source:,DHSS - MOPHIMS - Chronic Disease Deaths MICA,
Generated On:,3/15/2020 8:19:56 PM,
Chronic Disease:,The Chronic Disease categories shown here do not include all types of chronic disease.,
