Title:,Missouri Resident Chronic Disease Deaths,
Data selected in addition to rows and columns below:,Age: 65 - 69 70 - 74 75 - 79 80 - 84 85 and Over; Chronic Cause: Diabetes; ,,
Year:,2014,2015,2016,2017,2018,Total for selection,,
Statistics:,Count,Count,Count,Count,Count,Count,,
Zip / ZCTA,,,,,,,,
63101,0,0,0,0,0,0,,
63102,x,x,x,x,x,x,,
63103,x,x,x,x,x,x,,
63104,x,x,x,x,x,13,,
63105,x,x,x,x,x,x,,
63106,x,x,x,x,x,11,,
63107,x,x,x,x,x,14,,
63108,x,x,x,x,x,10,,
63109,x,x,x,x,x,16,,
63110,x,x,x,x,x,18,,
63111,x,x,x,x,x,15,,
63112,x,x,x,x,x,18,,
63113,x,x,x,x,x,20,,
63115,x,x,x,x,x,21,,
63116,x,x,x,x,x,17,,
63117,x,x,x,x,x,12,,
63118,x,x,x,x,x,12,,
63119,6,7,15,11,8,47,,
63120,x,x,x,x,x,14,,
63123,8,6,6,9,8,37,,
63125,x,x,x,x,x,29,,
63130,x,x,x,x,x,34,,
63133,x,x,x,x,x,13,,
63136,16,5,8,11,16,56,,
63137,x,x,x,x,x,22,,
63139,x,x,x,x,x,16,,
63143,x,x,x,x,x,x,,
63147,x,x,x,x,x,15,,
63005,x,x,x,x,x,7,,
63011,x,x,x,x,x,20,,
63017,5,11,5,9,7,37,,
63021,x,x,x,x,x,30,,
63025,x,x,x,x,x,10,,
63026,x,x,x,x,x,27,,
63031,8,5,12,12,8,45,,
63033,8,7,17,7,11,50,,
63034,x,x,x,x,x,17,,
63038,x,x,x,x,x,x,,
63040,x,x,x,x,x,x,,
63042,x,x,x,x,x,11,,
63043,x,x,x,x,x,20,,
63044,x,x,x,x,x,9,,
63045,0,0,0,0,0,0,,
63049,x,x,x,x,x,5,,
63069,x,x,x,x,x,6,,
63074,x,x,x,x,x,6,,
63088,x,x,x,x,x,5,,
63114,8,8,5,7,9,37,,
63121,x,x,x,x,x,27,,
63122,x,x,x,x,x,28,,
63124,x,x,x,x,x,6,,
63126,x,x,x,x,x,6,,
63127,x,x,x,x,x,7,,
63128,x,x,x,x,x,23,,
63129,x,x,x,x,x,39,,
63131,x,x,x,x,x,11,,
63132,x,x,x,x,x,11,,
63134,x,x,x,x,x,9,,
63135,x,x,x,x,x,24,,
63138,x,x,x,x,x,16,,
63140,0,0,0,0,0,0,,
63141,x,x,x,x,x,10,,
63144,x,x,x,x,x,x,,
63146,x,x,x,x,x,23,,
63301,8,12,7,12,10,49,,
63303,6,6,8,7,6,33,,
63304,x,x,x,x,x,23,,
63332,0,0,0,0,0,0,,
63341,x,x,x,x,x,x,,
63348,x,x,x,x,x,x,,
63357,x,x,x,x,x,x,,
63366,x,x,x,x,x,18,,
63367,x,x,x,x,x,x,,
63368,x,x,x,x,x,16,,
63373,x,x,x,x,x,x,,
63376,10,7,10,12,11,50,,
63385,x,x,x,x,x,20,,
63386,x,x,x,x,x,x,,
Total for selection,239,246,272,270,280,1307,,
Missouri,986,1000,1066,1136,1110,5298,,
Confidentiality:,The "x" symbol indicates the confidentiality rule has been triggered.,
Source:,DHSS - MOPHIMS - Chronic Disease Deaths MICA,
Generated On:,3/15/2020 8:22:12 PM,
Chronic Disease:,The Chronic Disease categories shown here do not include all types of chronic disease.,
