Title:,Missouri Resident Chronic Disease Deaths,
Data selected in addition to rows and columns below:,Age: 65 - 69 70 - 74 75 - 79 80 - 84 85 and Over; Chronic Cause: Heart disease; ,,
Year:,2014,2015,2016,2017,2018,Total for selection,,
Statistics:,Count,Count,Count,Count,Count,Count,,
Zip / ZCTA,,,,,,,,
63101,x,x,x,x,x,16,,
63102,x,x,x,x,x,9,,
63103,8,11,5,7,8,39,,
63104,10,11,16,28,20,85,,
63105,9,24,11,18,18,80,,
63106,18,9,14,23,16,80,,
63107,24,28,22,23,15,112,,
63108,27,30,35,42,39,173,,
63109,55,55,48,64,39,261,,
63110,25,21,24,31,26,127,,
63111,32,24,38,37,48,179,,
63112,24,27,38,22,30,141,,
63113,35,31,29,30,30,155,,
63115,46,25,52,41,42,206,,
63116,63,63,73,60,56,315,,
63117,15,18,15,24,16,88,,
63118,28,35,21,39,31,154,,
63119,86,77,96,97,84,440,,
63120,21,23,17,14,17,92,,
63123,135,135,114,121,128,633,,
63125,69,91,75,91,86,412,,
63130,47,44,39,36,47,213,,
63133,11,14,13,16,15,69,,
63136,90,85,73,97,91,436,,
63137,33,27,28,34,33,155,,
63139,31,30,40,33,45,179,,
63143,13,9,11,11,5,49,,
63147,20,13,21,11,24,89,,
63005,9,21,15,17,15,77,,
63011,75,79,61,69,77,361,,
63017,122,126,154,140,116,658,,
63021,58,71,78,86,82,375,,
63025,25,27,27,32,23,134,,
63026,57,66,62,63,79,327,,
63031,111,100,107,120,102,540,,
63033,102,115,120,88,124,549,,
63034,31,23,28,37,41,160,,
63038,9,11,5,6,7,38,,
63040,x,x,x,x,x,37,,
63042,32,32,35,25,29,153,,
63043,44,42,35,46,65,232,,
63044,31,48,36,38,33,186,,
63045,0,0,0,0,0,0,,
63049,22,19,15,22,25,103,,
63069,19,30,31,10,31,121,,
63074,26,31,27,33,23,140,,
63088,12,21,30,20,12,95,,
63114,60,69,78,74,53,334,,
63121,60,54,59,55,60,288,,
63122,105,84,90,97,97,473,,
63124,36,29,37,39,45,186,,
63126,27,30,27,32,36,152,,
63127,16,25,29,29,40,139,,
63128,72,104,107,108,107,498,,
63129,86,82,90,111,96,465,,
63131,24,34,23,38,35,154,,
63132,17,24,19,23,19,102,,
63134,20,23,15,23,28,109,,
63135,37,41,27,19,34,158,,
63138,37,35,39,36,23,170,,
63140,0,0,0,0,0,0,,
63141,38,45,55,41,48,227,,
63144,x,x,x,x,x,48,,
63146,58,97,83,46,78,362,,
63301,110,103,91,120,87,511,,
63303,64,74,59,68,62,327,,
63304,46,39,53,56,63,257,,
63332,x,x,x,x,x,9,,
63341,x,x,x,x,x,15,,
63348,6,5,11,6,7,35,,
63357,7,6,10,11,7,41,,
63366,57,59,61,76,76,329,,
63367,20,29,22,23,30,124,,
63368,51,59,62,52,47,271,,
63373,x,x,x,x,x,5,,
63376,103,96,116,128,120,563,,
63385,34,64,51,42,47,238,,
63386,x,x,x,x,x,5,,
Total for selection,2967,3166,3182,3276,3277,15868,,
Missouri,11031,11610,11482,11683,11657,57463,,
Confidentiality:,The "x" symbol indicates the confidentiality rule has been triggered.,
Source:,DHSS - MOPHIMS - Chronic Disease Deaths MICA,
Generated On:,3/15/2020 8:21:24 PM,
Chronic Disease:,The Chronic Disease categories shown here do not include all types of chronic disease.,
